číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_en,číselník_položka_nadřazená
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10405,10405,"Electrochemistry (dry cells, batteries, fuel cells, corrosion metals, electrolysis)",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10400
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10406,10406,Analytical chemistry,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10400
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10501,10501,Hydrology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10502,10502,Oceanography,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10503,10503,Water resources,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10504,10504,Mineralogy,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10505,10505,Geology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10506,10506,Paleontology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10507,10507,Volcanology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10508,10508,Physical geography,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10509,10509,Meteorology and atmospheric sciences,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10510,10510,Climatic research,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/10500
